Date,Open,High,Low,Close,Volume
2013-10-18,20.28,20.73,20.08,20.67,219041
2013-10-21,20.71,21.17,20.62,20.7,345703
2013-10-22,20.81,21.26,20.666,21.19,288321
2013-10-23,21.14,21.25,20.7703,20.99,516269
2013-10-24,20.99,21.44,20.88,21.27,213644
2013-10-25,21.4,21.4,20.95,21.01,200901
2013-10-28,21.09,21.21,20.9,21.08,192772
2013-10-29,21.2,21.28,20.79,21.27,202121
2013-10-30,21.34,21.57,20.66,20.77,605315
2013-10-31,20.75,23.76,20.4,23.35,1608770
2013-11-01,23.74,24.45,23.12,23.75,1068770
2013-11-04,23.85,24.35,23.808,24.25,761556
2013-11-05,24.34,24.99,24.34,24.72,513417
2013-11-06,24.94,25.25,24.0,24.18,366361
2013-11-07,24.24,24.24,22.689,22.8,386480
2013-11-08,22.78,23.29,22.21,22.99,403284
2013-11-11,23.02,23.02,22.71,22.88,164041
2013-11-12,22.88,23.0,22.58,23.0,128749
2013-11-13,22.87,23.49,22.63,23.46,338397
2013-11-14,24.06,25.15,23.81,24.65,505188
2013-11-15,24.9,25.02,24.22,24.36,299315
2013-11-18,24.63,24.8699,24.23,24.36,218958
2013-11-19,24.29,24.3799,23.55,23.71,445116
2013-11-20,23.87,24.0,23.55,23.71,171037
2013-11-21,23.74,24.13,23.74,24.0,192888
2013-11-22,24.07,24.12,23.82,24.01,181905
2013-11-25,24.03,24.03,23.67,23.78,138638
2013-11-26,23.86,24.04,23.86,24.0,249516
2013-11-27,23.97,24.12,23.866,24.01,157570
2013-11-29,24.17,24.39,23.935,24.16,150521
2013-12-02,24.08,24.15,23.67,23.86,196721
2013-12-03,23.75,24.0,22.8,23.14,342317
2013-12-04,23.11,23.54,23.03,23.35,187494
2013-12-05,23.42,24.21,23.38,24.0,1132915
2013-12-06,24.37,24.6975,24.01,24.57,388825
2013-12-09,25.02,25.0896,24.48,24.62,211448
2013-12-10,24.62,24.76,24.171,24.33,163451
2013-12-11,24.44,24.44,24.0,24.14,218000
2013-12-12,24.09,24.48,24.01,24.31,287531
2013-12-13,24.4,24.689,23.9901,24.38,208276
2013-12-16,24.43,24.72,24.2625,24.39,180558
2013-12-17,24.46,24.9,24.19,24.87,285763
2013-12-18,25.0,25.65,24.26,25.38,466233
2013-12-19,25.5999,26.4,25.315,25.79,1011998
2013-12-20,25.75,26.02,25.645,26.01,643786
2013-12-23,26.34,26.38,25.98,26.36,405624
2013-12-24,26.4,26.48,26.07,26.12,131281
2013-12-26,26.52,26.52,25.4001,25.44,312963
2013-12-27,25.34,25.64,24.86,25.28,242366
2013-12-30,25.19,25.46,24.87,25.33,335620
2013-12-31,25.34,27.09,25.14,26.81,584513
2014-01-02,26.9,26.9,25.71,26.0,369770
2014-01-03,26.01,26.41,25.7,25.84,242479
2014-01-06,26.0,26.2,25.08,25.37,278905
2014-01-07,25.42,25.75,25.42,25.64,259786
2014-01-08,25.6,25.745,25.4,25.6,316780
2014-01-09,25.64,25.7,25.01,25.18,295316
2014-01-10,25.3,25.5,24.5,25.41,325225
2014-01-13,25.47,26.7,23.72,24.12,719235
2014-01-14,24.07,24.6,23.38,24.39,589795
2014-01-15,24.53,24.745,24.3,24.51,386168
2014-01-16,24.39,25.21,24.39,25.2,359010
2014-01-17,25.47,26.0,25.39,25.97,559282
2014-01-21,26.07,26.7,26.07,26.67,518827
2014-01-22,26.95,28.109,26.628,27.98,805142
2014-01-23,28.0,28.05,27.39,27.57,507010
2014-01-24,27.43,27.43,26.21,26.45,353237
2014-01-27,26.15,26.43,24.67,25.78,673477
2014-01-28,25.92,26.54,25.43,26.53,481942
2014-01-29,26.35,26.57,25.2064,25.29,224786
2014-01-30,25.63,26.0,25.336,25.48,426869
2014-01-31,25.01,25.8,24.75,25.48,396537
2014-02-03,25.34,25.7325,23.08,24.02,761824
2014-02-04,23.63,24.39,23.04,24.18,764661
2014-02-05,23.91,24.3154,22.84,23.39,440473
2014-02-06,23.53,24.41,23.53,23.98,290179
2014-02-07,24.15,24.76,23.97,24.76,339821
2014-02-10,24.8,24.83,24.5095,24.59,249943
2014-02-11,24.67,26.01,24.67,25.84,515333
2014-02-12,26.11,26.535,25.22,25.71,548775
2014-02-13,25.49,26.86,25.3501,26.74,407205
2014-02-14,26.75,26.94,26.01,26.35,424810
2014-02-18,26.51,26.89,26.21,26.41,365381
2014-02-19,26.3,26.44,26.0,26.17,284807
2014-02-20,26.27,27.36,26.2184,27.23,475170
2014-02-21,27.21,27.71,26.27,27.34,349776
2014-02-24,27.31,28.3,27.17,27.29,400179
2014-02-25,27.43,28.59,27.055,28.16,533263
2014-02-26,28.22,28.48,27.4,27.75,246110
2014-02-27,27.77,27.94,27.344,27.85,183649
2014-02-28,27.93,28.71,27.616,28.28,350957
2014-03-03,28.29,28.59,27.61,28.36,318116
2014-03-04,28.83,28.97,28.1925,28.49,767301
2014-03-05,30.26,32.16,29.57,31.34,2061909
2014-03-06,31.3,33.0225,31.1,32.54,1261689
2014-03-07,32.34,32.93,31.625,31.78,640551
2014-03-10,31.87,31.94,30.801,31.59,400658
2014-03-11,31.79,31.97,31.39,31.56,255213
2014-03-12,31.46,32.51,30.901,32.5,471984
2014-03-13,32.76,33.21,32.2,32.4,332146
2014-03-14,32.4,32.78,31.7596,31.82,354601
2014-03-17,31.87,32.51,30.86,30.98,577914
2014-03-18,31.0,31.91,30.5,31.71,798780
2014-03-19,31.8,32.34,31.66,32.25,374909
2014-03-20,32.05,33.47,32.05,33.29,502339
2014-03-21,33.5,34.27,33.5,33.95,626855
2014-03-24,34.43,34.499,32.56,33.24,566412
2014-03-25,33.4,34.64,32.8701,33.25,445000
2014-03-26,33.61,34.449,33.36,33.51,723658
2014-03-27,33.5,33.53,32.251,32.94,454300
2014-03-28,32.9,33.88,32.8004,33.3,300861
2014-03-31,33.69,34.96,33.524,34.72,680502
2014-04-01,34.73,36.33,34.66,35.64,836916
2014-04-02,36.17,36.919,35.8,36.36,704700
2014-04-03,36.4,36.485,33.8,34.63,997506
2014-04-04,34.99,36.1675,34.66,34.96,701090
2014-04-07,34.55,34.7,31.93,32.91,871583
2014-04-08,32.82,34.08,32.51,33.28,551713
2014-04-09,33.35,35.07,33.35,35.03,501822
2014-04-10,35.12,35.4899,33.88,34.29,486916
2014-04-11,33.86,34.62,33.13,33.45,406499
2014-04-14,34.27,34.75,33.6301,34.09,389111
2014-04-15,34.32,35.04,33.55,34.76,727592
2014-04-16,35.23,36.81,34.96,35.64,756185
